Ticker,Call,Date
GPS,Sell,2016-04-18
CIEN,Sell,2016-04-18
ADMS,Sell,2016-04-18
OXY,Buy,2016-04-18
AEGN,Negative Mention,2016-04-18
XOM,Positive Mention,2016-04-18
IBM,Negative Mention,2016-04-18
FIZZ,Sell,2016-04-18
DEPO,Buy,2016-04-18
UTX,Positive Mention,2016-04-18
PEP,Positive Mention,2016-04-18
MCD,Positive Mention,2016-04-18
CVX,Positive Mention,2016-04-18
MYGN,Sell,2016-04-18
VZ,Buy,2016-04-18
WMT,Positive Mention,2016-04-18
RVNC,Buy,2016-04-18
UNH,Positive Mention,2016-04-18
COP,Positive Mention,2016-04-18
IONS,Negative Mention,2016-04-18
KO,Positive Mention,2016-04-18
CAT,Positive Mention,2016-04-18
CMCSA,Positive Mention,2016-04-19
DE,Negative Mention,2016-04-19
SJM,Negative Mention,2016-04-19
K,Negative Mention,2016-04-19
CVX,Positive Mention,2016-04-19
SWHC,Positive Mention,2016-04-19
DIS,Buy,2016-04-19
RPM,Buy,2016-04-19
IBM,Positive Mention,2016-04-19
NFLX,Negative Mention,2016-04-19
TWX,Positive Mention,2016-04-19
GLNG,Sell,2016-04-19
FCX,Positive Mention,2016-04-19
AAPL,Buy,2016-04-19
GS,Buy,2016-04-19
P,Sell,2016-04-19
AGCO,Buy,2016-04-19
RGR,Negative Mention,2016-04-19
MS,Positive Mention,2016-04-19
BAC,Positive Mention,2016-04-19
WFC,Buy,2016-04-20
F,Buy,2016-04-20
EXAS,Sell,2016-04-20
BAC,Positive Mention,2016-04-20
BP,Sell,2016-04-20
KKR,Buy,2016-04-20
BMRN,Buy,2016-04-20
SPLK,Buy,2016-04-20
PHM,Negative Mention,2016-04-20
C,Positive Mention,2016-04-20
YUM,Positive Mention,2016-04-20
MS,Positive Mention,2016-04-20
INTC,Buy,2016-04-20
WFM,Buy,2016-04-20
FRGI,Sell,2016-04-20
KR,Negative Mention,2016-04-20
AXP,Positive Mention,2016-04-20
IBM,Positive Mention,2016-04-20
JPM,Positive Mention,2016-04-20
SBUX,Buy,2016-04-21
RRD,Buy,2016-04-21
LVS,Negative Mention,2016-04-21
SNA,Buy,2016-04-21
GOOGL,Buy,2016-04-21
V,Buy,2016-04-21
IP,Buy,2016-04-21
MET,Positive Mention,2016-04-21
MSFT,Buy,2016-04-21
LRCX,Buy,2016-04-21
FSLR,Buy,2016-04-21
AWK,Negative Mention,2016-04-21
WYNN,Positive Mention,2016-04-21
BHI,Positive Mention,2016-04-22
DD,Buy,2016-04-22
DPZ,Positive Mention,2016-04-22
HAL,Positive Mention,2016-04-22
SKX,Buy,2016-04-22
SLB,Buy,2016-04-22
GE,Buy,2016-04-22
SBUX,Positive Mention,2016-04-22
CVX,Negative Mention,2016-04-22
CCJ,Sell,2016-04-22
BA,Negative Mention,2016-04-22
SWN,Positive Mention,2016-04-22
PG,Negative Mention,2016-04-22
STI,Positive Mention,2016-04-22
AMZN,Positive Mention,2016-04-22
XOM,Negative Mention,2016-04-22
WY,Buy,2016-04-22
MSFT,Negative Mention,2016-04-22
NSC,Positive Mention,2016-04-22
TWTR,Negative Mention,2016-04-22
AAPL,Buy,2016-04-22
BGS,Negative Mention,2016-04-22
MMM,Positive Mention,2016-04-22
LUV,Buy,2016-04-22
V,Positive Mention,2016-04-22
IMAX,Buy,2016-04-25
GOOGL,Negative Mention,2016-04-25
LUV,Buy,2016-04-25
OUTR,Sell,2016-04-25
MTW,Buy,2016-04-25
WBA,Buy,2016-04-25
SLB,Positive Mention,2016-04-25
BAC,Positive Mention,2016-04-25
KBH,Buy,2016-04-25
HAL,Positive Mention,2016-04-25
TPH,Sell,2016-04-25
MS,Positive Mention,2016-04-25
UNP,Positive Mention,2016-04-25
HPE,Buy,2016-04-25
CSX,Positive Mention,2016-04-25
NSC,Positive Mention,2016-04-25
CVS,Buy,2016-04-25
TGTX,Negative Mention,2016-04-26
NSC,Buy,2016-04-26
LMT,Buy,2016-04-26
STZ,Buy,2016-04-26
BGC,Buy,2016-04-26
JNJ,Buy,2016-04-26
MMM,Buy,2016-04-26
PANW,Buy,2016-04-26
PFPT,Buy,2016-04-26
HON,Buy,2016-04-26
BJRI,Negative Mention,2016-04-26
GE,Buy,2016-04-26
FIT,Positive Mention,2016-04-26
AAPL,Positive Mention,2016-04-26
SAM,Negative Mention,2016-04-26
MTZ,Buy,2016-04-26
CMG,Positive Mention,2016-04-26
EMN,Buy,2016-04-26
PXD,Buy,2016-04-26
Q,Buy,2016-04-26
LMT,Buy,2016-04-27
UTX,Buy,2016-04-27
BWLD,Buy,2016-04-27
HA,Negative Mention,2016-04-27
TWTR,Negative Mention,2016-04-27
CMG,Buy,2016-04-27
VGR,Positive Mention,2016-04-27
XOM,Buy,2016-04-27
AAPL,Positive Mention,2016-04-27
HON,Buy,2016-04-27
GE,Buy,2016-04-27
BA,Positive Mention,2016-04-27
BSX,Buy,2016-04-27
LUV,Buy,2016-04-27
CB,Buy,2016-04-27
GOOGL,Buy,2016-04-27
MSFT,Negative Mention,2016-04-27
NCLH,Buy,2016-04-27
WRK,Buy,2016-04-27
MDT,Buy,2016-04-27
AIG,Positive Mention,2016-04-27
EW,Buy,2016-04-27
WFC,Buy,2016-04-27
BAX,Buy,2016-04-27
JPM,Buy,2016-04-27
GHL,Sell,2016-04-28
LUV,Buy,2016-04-28
CYBR,Buy,2016-04-28
GS,Buy,2016-04-28
MCD,Positive Mention,2016-04-28
PM,Buy,2016-04-28
WFM,Positive Mention,2016-04-28
RAI,Sell,2016-04-28
NXPI,Buy,2016-04-28
MA,Buy,2016-04-28
DPZ,Buy,2016-04-28
AVT,Buy,2016-04-28
ALK,Negative Mention,2016-04-28
BMY,Buy,2016-04-28
RRGB,Sell,2016-04-28
LNKD,Positive Mention,2016-04-28
PYPL,Buy,2016-04-28
PSTG,Negative Mention,2016-04-29
EQIX,Buy,2016-04-29
AMT,Buy,2016-04-29
AEP,Buy,2016-04-29
AMZN,Buy,2016-04-29
CVS,Positive Mention,2016-04-29
DENN,Negative Mention,2016-04-29
COLM,Buy,2016-04-29
HAIN,Negative Mention,2016-04-29
RHI,Sell,2016-04-29
LMT,Buy,2016-04-29
GD,Positive Mention,2016-04-29
CLX,Negative Mention,2016-04-29
ATVI,Buy,2016-04-29
CMI,Positive Mention,2016-04-29
BX,Buy,2016-04-29
DDD,Negative Mention,2016-05-02
XOM,Buy,2016-05-02
SHW,Buy,2016-05-02
ITCI,Sell,2016-05-02
CVX,Buy,2016-05-02
DFS,Buy,2016-05-02
NWL,Buy,2016-05-02
AAPL,Buy,2016-05-02
IBM,Positive Mention,2016-05-02
AMBA,Sell,2016-05-02
NLY,Positive Mention,2016-05-02
XRX,Buy,2016-05-02
IP,Buy,2016-05-02
OXY,Buy,2016-05-02
AMZN,Positive Mention,2016-05-02
COR,Positive Mention,2016-05-03
NSC,Positive Mention,2016-05-03
DIN,Negative Mention,2016-05-03
AMZN,Buy,2016-05-03
CSX,Sell,2016-05-03
COST,Buy,2016-05-03
